Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5HQEmiV2lKnSO6qa2fsR7x,"I'm Not In Love","The Original Soundtrack","10cc",1975,366640,79,false,,2025-06-02T11:11:07Z,"yacht rock,art rock,glam rock","EMI",0.404,0.523,4,-15.7,1,0.0575,0.685,0.000498,0.282,0.164,133.738,4
spotify:track:3heUPyWnnMuSl7tu2ZHBpT,"It's a Corporate World","It's a Corporate World","JR JR",2011-06-03,173786,11,false,,2025-05-27T23:39:22Z,"","Warner Records",0.485,0.819,2,-5.112,1,0.0646,0.186,0.0385,0.0407,0.601,87.279,4
spotify:track:0tnvYx9kZElB3wWkpSmDTp,"A.A.","A.A.","Teenager,Ladyhawke",2025-05-21,211612,34,false,,2025-05-27T11:38:45Z,"","etcetc",0.642,0.917,5,-4.327,0,0.0429,0.0055,0.00264,0.177,0.667,118.035,4
spotify:track:0C6I0PEuFMRO3uUwtYcxGP,"I Love You Like the Way That I Used to Do","A Certain Smile a Certain Sadness","Rocketship",1995-01-01,261466,45,false,,2025-05-25T15:39:19Z,"jangle pop,shoegaze","Nonstop Co-op",0.152,0.812,0,-6.088,1,0.0641,0.368,0.899,0.337,0.0381,159.896,4
spotify:track:2KhLKHJNn06gBNhBzUDm4U,"Just Like The Last Time","friends vol. 2","bob junior,Evan Klar",2025-05-23,173035,22,false,,2025-05-24T21:06:27Z,"","777 Music",0.81,0.697,4,-4.928,0,0.0655,0.0166,0.00131,0.0706,0.971,125.964,4
spotify:track:2oSpQ7QtIKTNFfA08Cy0ku,"It's The End Of The World As We Know It (And I Feel Fine)","Document (R.E.M. No. 5)","R.E.M.",1987-09-01,246933,70,false,,2025-05-23T19:49:03Z,"jangle pop,alternative rock,rock","IRS",0.381,0.894,7,-8.638,1,0.037,0.0258,0,0.0251,0.797,205.528,4
spotify:track:4dC3lOFZhxuTmdoI1hNSuj,"Good Kisses","Earcandy","Miso Extra,Metronomy",2025-05-16,200160,36,false,,2025-05-22T14:15:35Z,"new rave,alternative dance","Transgressive",0.708,0.788,4,-6.019,0,0.0372,0.028,0,0.178,0.548,130.033,4
spotify:track:4YOrvi3CpPvX48symLER3H,"Unforgivable","Beneath The Lilypad","Alexandra Savior",2025-05-16,223164,49,false,,2025-05-20T14:18:05Z,"","Alexandra Savior/RCA Records",0.507,0.645,7,-6.547,1,0.0399,0.782,0.114,0.163,0.525,112.002,4
spotify:track:7iOmNAV74wgniReAH65opV,"Fatal Flaw","There's A Whole World Out There","Arm's Length",2025-05-16,250172,56,true,,2025-05-20T01:55:41Z,"midwest emo,pop punk,emo","Pure Noise Records",0.407,0.964,1,-2.194,0,0.123,0.00558,0.00748,0.373,0.332,169.872,4
spotify:track:19osqbHC9o5mvHsxd1gUq9,"Cicadas","Cruel Joke","Ken Pomeroy",2025-05-16,246166,36,false,,2025-05-19T23:42:12Z,"","Rounder",0.26,0.302,2,-11.593,1,0.0306,0.793,0.000734,0.12,0.226,82.578,4
spotify:track:0JLTlcdFgUxO0l0iKvl1zB,"Learning","Learning","Jack Symes",2025-05-16,145170,34,true,,2025-05-16T18:46:43Z,"","Ay Caramba Records Etc.",0.869,0.357,7,-10.534,1,0.0528,0.406,0.00000269,0.0854,0.746,113.448,4
spotify:track:4M5BOn53S0p9wTRHzNARWA,"Run No More","MIXED EMOTIONS","KALEO",2025-05-09,348105,64,false,,2025-05-13T22:38:28Z,"","Atlantic Records",0.469,0.496,9,-9.707,0,0.0343,0.38,0.00154,0.109,0.187,108.162,4
spotify:track:03GqWbDts733KUnWy5fu7A,"Lost in My Mind","The Head And The Heart","The Head And The Heart",2011-01-11,259120,67,false,,2025-05-13T16:38:20Z,"indie folk,folk pop,folk","The Head and The Heart",0.368,0.516,2,-9.125,1,0.0292,0.423,0.000175,0.286,0.366,95.323,4
spotify:track:4h5x3XHLVYFJaItKuO2rhy,"Ghost in the Machine (feat. Phoebe Bridgers)","SOS","SZA,Phoebe Bridgers",2022-12-09,218586,73,true,,2025-05-12T12:02:33Z,"r&b","Top Dawg Entertainment/RCA Records",0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,4
spotify:track:78HpdJlNoppURkMmE0dogS,"Sweet Symphony (with Chris Stapleton)","Sweet Symphony","Joy Oladokun,Chris Stapleton",2022-09-23,228076,53,false,,2025-05-12T12:02:20Z,"country,outlaw country","Verve Forecast/Republic Records",0.396,0.278,8,-9.526,1,0.05,0.796,0.00000692,0.115,0.155,169.93,3
spotify:track:5ECxiK4Vigo1yRRmAoZc1f,"Silk Chiffon","MUNA","MUNA,Phoebe Bridgers",2022-06-24,206586,64,false,,2025-05-11T18:46:56Z,"","Dead Oceans",0.622,0.739,8,-6.219,1,0.0441,0.0156,0,0.111,0.435,97.017,4
spotify:track:6HZ2CMj8Pc3dGq8D11WpsQ,"Hold On","Gemini","Noah Reid",2020-05-29,305972,43,false,,2025-05-10T02:18:45Z,"","baselineMUSIC",0.288,0.271,3,-8.674,1,0.0312,0.714,0.000219,0.0941,0.214,178.55,3
spotify:track:3pV4PAFDK6BdZY9YjXQqMt,"What's Fair","If You Asked For A Picture","Blondshell",2025-05-02,235266,50,true,,2025-05-06T18:41:41Z,"","Partisan Records",0.586,0.682,10,-4.883,1,0.0312,0.00741,0.00992,0.191,0.622,99.918,4
spotify:track:61Bs2c4Klo0DZQO42gZXMO,"Time is Not Yours","Time is Not Yours","Say Sue Me",2025-04-30,231960,41,false,,2025-05-06T10:24:03Z,"dream pop,jangle pop","Damnably",0.439,0.88,3,-5.498,1,0.0328,0.000316,0.00326,0.0672,0.905,160.988,4
spotify:track:1qK69y0WuNCaSKNmtZYFlj,"Ex-Florist","Ex-Florist / Oh! Luna","tommy oeffling",2025-05-02,234568,34,false,,2025-05-06T09:55:37Z,"slowcore","gramps records",0.534,0.637,10,-9.915,1,0.0342,0.651,0.876,0.265,0.632,129.946,4
spotify:track:1eXnk8cRzaApBkltU7UNlA,"Want Pt. 2","Want","Esther Rose",2025-05-02,338373,30,false,,2025-05-02T20:06:56Z,"americana,alt country","New West Records, LLC",0.364,0.556,5,-6.999,1,0.049,0.227,0.00000105,0.118,0.508,154.593,4
spotify:track:2QmOrcsSxTDexwVctg60D8,"Had To Be There","We Do Not Fear Ruins","Mobley",2025-04-23,265290,24,false,,2025-05-01T21:48:30Z,"","Last Gang",0.489,0.937,9,-3.623,1,0.0388,0.0269,0,0.0689,0.369,87.989,4
spotify:track:1uHlqPeuw6epPcBco0wAld,"Tuesday","I Don't Know How But They Found Me!","Jensen McRae",2025-04-25,166893,52,false,,2025-05-01T20:08:17Z,"","Dead Oceans",0.438,0.149,4,-10.864,1,0.0365,0.907,0,0.0962,0.374,67.964,4
spotify:track:5YKKq8uJyhT5yQNu6H3Wtz,"Worn Through","Tin Armor","Tin Armor",2013-09-17,185088,1,false,,2025-05-01T13:19:25Z,"folk punk","Gokee Music",0.436,0.965,9,-4.831,1,0.0445,0.000806,0.000419,0.0917,0.924,155.034,4
spotify:track:4TNs34s6oqGlWr9EByFXR3,"1904","There's No Leaving Now","The Tallest Man On Earth",2012-06-12,239733,41,false,,2025-04-25T18:29:54Z,"indie folk,folk","Dead Oceans",0.51,0.581,0,-4.141,1,0.0266,0.723,0,0.0996,0.594,104.624,4
spotify:track:0NLBwQBYJhEM9t3KAMPFVR,"Sold (The Grundy County Auction Incident)","John Michael Montgomery","John Michael Montgomery",1995-03-17,152186,74,false,,2025-04-19T15:33:06Z,"country,classic country","Rhino/Warner Records",0.771,0.848,2,-7.365,1,0.035,0.108,0,0.35,0.803,115.642,4
