Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0UOeq7bSskoJa4cJaJOmFS,"Ticking","Letter to Self","SPRINTS",2024-01-05,186949,32,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.376,0.62,11,-6.49,1,0.344,0.025,0.0765,0.0934,0.291,175.574,4
spotify:track:02bA26OEe0nNFyE3YcNx4K,"Heavy","Letter to Self","SPRINTS",2024-01-05,207409,49,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.348,0.705,11,-5.925,1,0.0591,0.00435,0.000738,0.0877,0.189,88.581,4
spotify:track:7IPDhCIQlpvxVxtC1Q7Jq4,"Cathedral","Letter to Self","SPRINTS",2024-01-05,179694,33,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.535,0.699,7,-6.231,1,0.0473,0.00978,0.0027,0.0887,0.397,119.056,4
spotify:track:65fPteG9ctHt2rrJxlbMr8,"Shaking Their Hands","Letter to Self","SPRINTS",2024-01-05,222489,31,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.214,0.851,4,-5.658,0,0.0533,0.199,0.108,0.133,0.551,89.485,4
spotify:track:4UgkFdXpJD0fhw06BMk0bz,"Adore Adore Adore","Letter to Self","SPRINTS",2024-01-05,157766,41,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.412,0.877,4,-4.401,0,0.257,0.0107,0.000107,0.101,0.402,176.054,4
spotify:track:1ztIebjhmfFdYPhH4m6ORE,"Shadow of a Doubt","Letter to Self","SPRINTS",2024-01-05,250306,34,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.43,0.319,6,-10,0,0.0506,0.105,0.315,0.117,0.0644,162.363,4
spotify:track:4pdVm2h5g5aFu1kZpFmXk4,"Can't Get Enough of It","Letter to Self","SPRINTS",2024-01-05,259773,28,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.519,0.833,0,-6.38,1,0.0472,0.00332,0.0136,0.255,0.275,117.077,4
spotify:track:0clnmlnbuEFBRijmhFQEWB,"Literary Mind","Letter to Self","SPRINTS",2024-01-05,272061,36,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.27,0.886,7,-4.861,1,0.0568,0.0155,0.00469,0.12,0.543,172.721,4
spotify:track:0uXd851Se9fTi6vqQRBABR,"A Wreck (A Mess)","Letter to Self","SPRINTS",2024-01-05,216595,26,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.216,0.826,2,-5.451,1,0.0793,0.000173,0.000968,0.329,0.356,186.241,4
spotify:track:469d5BNae99knRggeaqA0n,"Up and Comer","Letter to Self","SPRINTS",2024-01-05,226385,38,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.307,0.717,6,-5.656,0,0.0758,0.0183,0.000349,0.132,0.16,92.739,4
spotify:track:37goVPAgmZhK5YqAysIBex,"Letter to Self","Letter to Self","SPRINTS",2024-01-05,200341,26,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"post-punk","City Slang",0.326,0.516,7,-8.724,1,0.0432,0.00279,0.00189,0.363,0.0843,115.913,4
spotify:track:5gpF86jlx7jFejfsvJq7X8,"The Ground","Big Sigh","Marika Hackman",2024-01-12,151080,26,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"southern gothic,ambient folk","Chrysalis Records",0.39,0.25,9,-12.887,0,0.0357,0.961,0.876,0.332,0.223,130.02,3
spotify:track:1emvaO5ytjc0mZWqDjmig6,"No Caffeine","Big Sigh","Marika Hackman",2024-01-12,191786,40,true,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"southern gothic,ambient folk","Chrysalis Records",0.624,0.855,7,-6.233,1,0.0409,0.315,0.0238,0.0352,0.201,102.989,4
spotify:track:2iQ2LTwjY1Li5bxdqP1WtF,"Big Sigh","Big Sigh","Marika Hackman",2024-01-12,242626,31,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"southern gothic,ambient folk","Chrysalis Records",0.473,0.479,7,-6.525,0,0.0294,0.67,0.0045,0.0993,0.287,144.218,4
spotify:track:2nkAjiZKgqEtcezjXypwmV,"Blood","Big Sigh","Marika Hackman",2024-01-12,229280,42,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"southern gothic,ambient folk","Chrysalis Records",0.574,0.257,0,-13.78,0,0.0284,0.817,0.0923,0.106,0.251,104.005,4
spotify:track:7ngItS6O7mw2Iba52BZgXF,"Hanging","Big Sigh","Marika Hackman",2024-01-12,233680,26,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"southern gothic,ambient folk","Chrysalis Records",0.472,0.315,7,-8.503,0,0.0344,0.675,0.00005,0.154,0.11,78.206,4
spotify:track:7Ivv6e8HyJunNnXmmFKp80,"The Lonely House","Big Sigh","Marika Hackman",2024-01-12,149333,24,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"southern gothic,ambient folk","Chrysalis Records",0.529,0.00972,9,-22.057,0,0.169,0.996,0.937,0.289,0.361,141.572,4
spotify:track:03qtPCrUYGGh1pW9oLpU8N,"Vitamins","Big Sigh","Marika Hackman",2024-01-12,252360,29,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"southern gothic,ambient folk","Chrysalis Records",0.299,0.265,9,-13.84,0,0.0388,0.83,0.0345,0.203,0.0862,120,4
spotify:track:63dBoOHF8DYRxaAEGA06KY,"Slime","Big Sigh","Marika Hackman",2024-01-12,238946,31,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"southern gothic,ambient folk","Chrysalis Records",0.512,0.68,9,-6.106,0,0.0314,0.371,0.00393,0.267,0.229,111.061,4
spotify:track:1ST4buAf2u9DsddAjmHxLI,"Please Don’t Be So Kind","Big Sigh","Marika Hackman",2024-01-12,269053,30,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"southern gothic,ambient folk","Chrysalis Records",0.467,0.319,5,-10.544,0,0.0345,0.89,0.299,0.124,0.16,148.552,4
spotify:track:3d6CZ2dTOoSLqvfQG0rqjJ,"The Yellow Mile","Big Sigh","Marika Hackman",2024-01-12,183706,33,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"southern gothic,ambient folk","Chrysalis Records",0.453,0.133,9,-17.872,1,0.0743,0.965,0.000268,0.151,0.153,103.543,4
spotify:track:2berFinu7WImpR2fHLO8YV,"I Know That It’s Like This (Baby)","Iechyd Da","Bill Ryder-Jones",2024-01-12,272693,31,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.435,0.313,7,-11.369,1,0.0314,0.158,0.000113,0.367,0.331,138.471,4
spotify:track:0jxLPdMZVoPpDhX7sVrGhA,"A Bad Wind Blows In My Heart pt. 3","Iechyd Da","Bill Ryder-Jones",2024-01-12,237680,28,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.327,0.374,2,-9.495,1,0.0319,0.745,0.00124,0.342,0.25,130.987,3
spotify:track:13mBzRFHs27qs0fPlGG2jd,"If Tomorrow Starts Without Me","Iechyd Da","Bill Ryder-Jones",2024-01-12,186266,33,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.681,0.585,4,-8.956,1,0.0304,0.348,0.0727,0.0959,0.97,128.017,4
spotify:track:2uxIzj247ukJHBzMElth8I,"We Don’t Need Them","Iechyd Da","Bill Ryder-Jones",2024-01-12,295106,26,true,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.437,0.373,6,-9.212,1,0.0274,0.59,0.624,0.348,0.269,100.027,3
spotify:track:1rrbYRonZM7XZAAjcY8rWp,"I Hold Something In My Hand","Iechyd Da","Bill Ryder-Jones",2024-01-12,184466,27,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.684,0.488,4,-10.552,1,0.0357,0.459,0.043,0.21,0.73,119.997,4
spotify:track:5ArEw2BPOPCb1ogeo7vr36,"This Can’t Go On","Iechyd Da","Bill Ryder-Jones",2024-01-12,270373,32,true,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.386,0.629,0,-6.997,1,0.0274,0.0476,0.369,0.262,0.194,140.019,4
spotify:track:28N0XrmeR5vLGHiOMl8BpN,"...And The Sea...","Iechyd Da","Bill Ryder-Jones",2024-01-12,130360,22,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.32,0.637,6,-8.653,0,0.0346,0.363,0.987,0.0741,0.204,60.01,4
spotify:track:49o7OizklFhPH8ZujQSKA1,"Nothing To Be Done","Iechyd Da","Bill Ryder-Jones",2024-01-12,242573,24,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.118,0.783,9,-7.901,1,0.042,0.0787,0.0131,0.0509,0.187,160.86,4
spotify:track:205cUw3kIC5VlMVotuGarq,"It’s Today Again","Iechyd Da","Bill Ryder-Jones",2024-01-12,213173,24,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.337,0.412,9,-8.912,1,0.0302,0.164,0.0217,0.156,0.155,139.917,3
spotify:track:1NLTFD6UpUNeVkYy5ujXgt,"Christinha","Iechyd Da","Bill Ryder-Jones",2024-01-12,244280,23,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.39,0.605,0,-9.45,1,0.0315,0.408,0.000433,0.213,0.618,115.003,4
spotify:track:29wvuq2uL6sbOSx7OoK9PY,"How Beautiful I Am","Iechyd Da","Bill Ryder-Jones",2024-01-12,258773,23,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.358,0.304,10,-10.742,1,0.0297,0.662,0.0723,0.0992,0.199,112.794,3
spotify:track:6itgwendU9sXb63qv66eaT,"Thankfully For Anthony","Iechyd Da","Bill Ryder-Jones",2024-01-12,294053,23,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.242,0.334,0,-10.253,0,0.0304,0.0149,0.466,0.105,0.0857,106.207,3
spotify:track:4PxUdXd3aX8jW6DtK02dov,"Nos Da","Iechyd Da","Bill Ryder-Jones",2024-01-12,97878,20,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"","Domino Recording Co",0.315,0.132,5,-17.078,1,0.035,0.972,0.956,0.0692,0.058,79.996,3
spotify:track:2DJejaWAKa3BTTdwvzKVJO,"Sometimes I Swear","Pick-Up Full Of Pink Carnations","The Vaccines",2024-01-12,218027,44,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"indie,indie rock","Super Easy",0.224,0.84,0,-4.85,1,0.0389,0.106,0.0000204,0.0969,0.18,139.271,4
spotify:track:0U9q5llCokADhEG2qeEhcB,"Heartbreak Kid","Pick-Up Full Of Pink Carnations","The Vaccines",2024-01-12,180978,41,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"indie,indie rock","Super Easy",0.383,0.911,0,-3.37,1,0.0803,0.00389,0.00000224,0.0783,0.556,162.016,4
spotify:track:7ysZK0xlf1jIWMkiVJoGLB,"Lunar Eclipse","Pick-Up Full Of Pink Carnations","The Vaccines",2024-01-12,176578,42,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"indie,indie rock","Super Easy",0.39,0.904,7,-4.072,1,0.0639,0.0419,0,0.0924,0.73,172.052,4
spotify:track:7oGpYDcFyHQSQS0CvEejVB,"Discount De Kooning (Last One Standing)","Pick-Up Full Of Pink Carnations","The Vaccines",2024-01-12,229165,41,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"indie,indie rock","Super Easy",0.409,0.826,0,-3.919,1,0.0422,0.0224,0,0.349,0.564,151.992,4
spotify:track:3B6FhGzs4KwaFIKtrSNgTN,"Primitive Man","Pick-Up Full Of Pink Carnations","The Vaccines",2024-01-12,190206,33,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"indie,indie rock","Super Easy",0.312,0.882,7,-3.961,1,0.061,0.00415,0.00209,0.0614,0.409,164.168,4
spotify:track:2UrGPH0pzmKqrV156PVU1F,"Sunkissed","Pick-Up Full Of Pink Carnations","The Vaccines",2024-01-12,181482,37,false,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T00:53:10Z,"indie,indie rock","Super Easy",0.588,0.715,1,-3.248,1,0.0329,0.0269,0,0.0485,0.882,123.02,4
