Artist,Similar Artists
BODEGA,"Folly Group, Gustaf, Warmduscher, Deadletter, Cola, Pip Blom, Yard Act, Sprints"
CHE,"OsamaSon, 1oneam, prettifun, ohsxnta, nettspend, Yhapojj, Tana, Swapa"
Bonnie Prince Billy,"Palace Music, Will Oldham, Palace Brothers, Bill Callahan, Smog, Magnolia Electric Co., Songs: Ohia, Vic Chesnutt"
Telethon,"Barely March, Smol Data, Diva Sweetly, Bigger Better Sun, snow ellet, Katie Ellen, harmony woods, Good Looking Friends"
Heather Maloney,"Heather Maloney & Darlingside, Twisted Pine, Rainbow Girls, Lula Wiles, Dave Carter, Lindsay Lou, Raye Zaragoza, Birds of Chicago"
Darksoft,"Flyying Colours, Bored at My Grandmas House, Soft Science, TTSSFU, Cigarettes for Breakfast, Chinese American Bear, Film School, Whitelands"
The Last Internationale,"Dorothy, Rival Sons, Blues Pills, The Temperance Movement, The Stone Foxes, Goodbye June, Dirty Honey, Band of Skulls"
Perry Brown,"Fire Mountain, The Pollies, Preston Lovinggood, Wilder Adkins, Porter and The Pollies, Party Dolls, Kent Goolsby & the Gold Standard, Magnolia Mountain"
Life in Film,"Young Rebel Set, Eight Legs, Various Cruelties, Pegasus Bridge, The Heartbreaks, Dog Is Dead, General Fiasco, Look See Proof"
Charlotte Cardin,"Clara Luciani, Yoa, Silly Boy Blue, Marie Flore, Cœur de Pirate, Charlie Winston, Marina Kaye, Winona Oak"
Hey Rosetta!,"Wintersleep, Matt Mays, Said the Whale, Joel Plaskett Emergency, Sam Roberts, Dan Mangan, Matthew Good, Joel Plaskett"
Tokyo Police Club,"Born Ruffians, Ra Ra Riot, The Rural Alberta Advantage, Arkells, Wolf Parade, Said the Whale, The Zolas, Hot Hot Heat"
Withered Hand,"King Creosote, James Yorkston and The Athletes, Malcolm Middleton, Kathryn Joseph, King Creosote & Jon Hopkins, Admiral Fallow, Rachel Sermanni, Frightened Rabbit"
Volbeat,"Godsmack, Five Finger Death Punch, Disturbed, Trivium, Stone Sour, Battle Beast, Steel Panther, Dee Snider"
flor,"Smallpools, The Band CAMINO, Nightly, Bad Suns, Coin, Hotel Apache, The Wldlfe, CRUISR"
Our Girl,"the orielles, Prima Queen, deary, Horsegirl, The Big Moon, Marika Hackman, Wishy, BDRMM"
Skip Marley,"Protoje, Lila Iké, Jesse Royal, Damian Marley, Kabaka Pyramid, Chronixx, Stephen Marley, Collie Buddz"
Van Morrison,"Them, Jackson Browne, Paul Simon, The Band, John Hiatt, Bob Dylan, Neil Young, James Taylor"
Yelle,"kalika, Lorie, Mylène Farmer, Alizée, Juliette Armanet, Bagarre, Fishbach, Christine and the Queens"
Charly Bliss,"Illuminati Hotties, Rosie Tucker, Pom Pom Squad, Swearin', ratboy, Diet Cig, Remember Sports, The Beths"
FIZZ,"Orla Gartland, dodie, Martin Luke Brown, Tessa Violet, Adam Melchor, Baby Queen, Lauran Hibberd, Tommy Lefroy"
Sophie Jamieson,"Will Stratton, jasmine.4.t, Anna B Savage, The Weather Station, Nadia Reid, Denison Witmer, Hannah Cohen, Adrian Crowley"
MARINA,"Marina & the Diamonds, Melanie Martinez, Allie X, Tove Lo, Florence + the Machine, Lady Gaga, Lorde, Rina Sawayama"
Charley Crockett,"Vincent Neil Emerson, Colter Wall, Sturgill Simpson, Sierra Ferrell, Pony Bradshaw, Tyler Childers, Turnpike Troubadours, Brent Cobb"
Matt Maltese,"Strawberry Guy, grentperez, Charlie Burg, Oscar Lang, Ricky Montgomery, Leith Ross, Faye Webster, Sophie May"
Hugo Lemieux,"Guitar Dreamers, a sound for you, Scuff Selam, Iron Ore, Sunfish Grove, Happy Pastures, Cosmic Council, Eric Kenesov"
Angus & Julia Stone,"Julia Stone, Angus Stone, Dope Lemon, Fink, Ben Howard, Nick Mulvey, Xavier Rudd, Ane Brun"
Solange,"Kelela, Ravyn Lenae, Erykah Badu, Janelle Monáe, Blood Orange, Chloe x Halle, The Internet, Beyoncé"
J. Cole,"Cozz, Bas, Jid, Joey Bada$$, Dreamville, Cordae, Lute, Drake"
CooBee Coo,"Quiet Hollers, campdogzz, The Molochs, Lo Tom, Le Trouble, Matthew Logan Vasquez, ghostel, Landlady"
Common Deer,"Terra Lightfoot, Port Cities, Modern Space, The Royal Foundry, Carmanah, Mo Kenney, Shred Kelly, Van Damsel"
Logic,"JOYNER LUCAS, Cordae, Big Sean, SILAS, Jack Harlow, Joey Bada$$, Dizzy Wright, Token"
Isaiah Rashad,"Smino, ScHoolboy Q, Saba, Mick Jenkins, Joey Bada$$, Vince Staples, EarthGang, Jid"
Wyclef Jean,"Pras, Fugees, Chingy, Mase, Nelly, Busta Rhymes, T.I., Ja Rule"
Baaba Maal,"Ismaël Lô, Youssou N'Dour, Cheikh Lô, Ali Farka Touré, Orchestra Baobab, Bassekou Kouyate & Ngoni ba, Boubacar Traoré, Amadou & Mariam"
YACHT,"!!!, The Blow, The Juan Maclean, Holy Ghost!, Starfucker, Fujiya & Miyagi, Cut Copy, Datarock"
JUMBO,"Zurdok, Fobia, La Gusana Ciega, Azul Violeta, División Minúscula, Volován, Chetes, La Lupita"
Monica Martin,
THE ANXIETY,
Viking Barbie,"Mass of Man, Kansh, Cryptic Wisdom, Georgiou Music, Kvng Moses, Whitney Peyton, Colicchie, Joey Cool"
Courtney Hartman,
Handsome Boy Modeling School,"Lovage, Dr. Octagon, Deltron 3030, Jurassic 5, RJD2, Del Tha Funkee Homosapien, Hieroglyphics, DJ Shadow"
Glom,"Chelsea Days, Famous Friend, JW Francis, Dirty Nice, Cal in Red, Big Warm Bed, Chinese American Bear, Sipper"
Bright Eyes,"Conor Oberst, Conor Oberst and the Mystic Valley Band, Desaparecidos, Neva Dinova, Monsters of Folk, The Good Life, Better Oblivion Community Center, Okkervil River"
$uicideboy$,"Scrim, Pouya, Night Lovell, shakewell, Xavier Wulf, DEVILISH TRIO, GhosteMane, Fat Nick"
Supergrass,"Super Furry Animals, Ocean Colour Scene, The Charlatans, The Bluetones, Suede, Dodgy, Shed Seven, Ash"
Curren$y,"Larry June, Smoke DZA, Curren$y & Alchemist, Boldy James, Dom Kennedy, Curren$y & Wiz Khalifa, LE$, Big K.R.I.T."
Hozier,"Noah Kahan, Paris Paloma, Florence + the Machine, Lucy Dacus, The Crane Wives, Gregory Alan Isakov, The Lumineers, Tamino"
A.K.A. Pella,"Soulful Acappella, Ari Goldwag, Y-Studs A Cappella, Shalsheles, Baruch Levine, Six13, Lev Tahor, Aryeh Kunstler"
Daryl Hall & John Oates,"Daryl Hall, Huey Lewis & The News, Kenny Loggins, Ambrosia, Mr. Mister, The Doobie Brothers, Christopher Cross, Foreigner"
Lil Nas X,"Lil Nas X & Jack Harlow, 24kgoldn, Yung Gravy, Post Malone, bbno$, Lizzo, Megan Thee Stallion, Cardi B"
Sibylle Baier,"Vashti Bunyan, Linda Perhacs, Molly Drake, Karen Dalton, Connie Converse, Jackson C. Frank, Diane Cluck, Bridget St. John"
Blu & Exile,"Blu, Little Brother, Fashawn, Lupe Fiasco, Elzhi, Big K.R.I.T., Murs, Roc Marciano"
The Cinematic Orchestra,"Nuspirit Helsinki, The Funky Lowlives, Hird, Marsmobil, Bobby Hughes Combination, Metropolitan Jazz Affair, The Mighty Bop, A Forest Mighty Black"
Brooks & Dunn,"Travis Tritt, John Michael Montgomery, Alan Jackson, Toby Keith, George Strait, Tracy Byrd, Tim McGraw, Joe Diffie"
Kae Tempest,"Kate Tempest, Antony Szmierek, Sleaford Mods, Saul Williams, Loyle Carner, The Streets, Sampa The Great, Young Fathers"
Ahead to the Sea,"Tofu Love Frogs, Warblefly, The Currency, Across the Border, Tricks Upon Travellers, Rum Rebellion, Meisce, Saint Bushmill's Choir"
POSTDATA,"Kary, Contrived, Brian Borcherdt, The Wooden Sky, The Mountains & The Trees, In-Flight Safety, Dan Mangan + Blacksmith, Rah Rah"
