Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1zoXDi9AY4TF5JoUuCCTL6,"NEVER ENOUGH","NEVER ENOUGH","Turnstile",2025-06-06,287159,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-06T11:25:29Z,"hardcore punk,hardcore","Roadrunner Records",0.186,0.625,2,-6.64,1,0.0392,0.0813,0.299,0.0929,0.0352,153.719,4
spotify:track:6PaSOin7Y9GnXRZ5U5sMsv,"SOLE","NEVER ENOUGH","Turnstile",2025-06-06,205249,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-06T11:25:29Z,"hardcore punk,hardcore","Roadrunner Records",0.489,0.94,1,-3.832,1,0.0826,0.000116,0.0753,0.163,0.464,144.967,4
spotify:track:7KVIuHxbV5lvBE5Vyiw8FC,"I CARE","NEVER ENOUGH","Turnstile",2025-06-06,233141,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-06T11:25:29Z,"hardcore punk,hardcore","Roadrunner Records",0.474,0.934,7,-4.898,1,0.0397,0.000459,0.0194,0.268,0.365,168.092,4
spotify:track:3AI0lzoJrrIl0lGo89DS9q,"DREAMING","NEVER ENOUGH","Turnstile",2025-06-06,156465,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-06T11:25:29Z,"hardcore punk,hardcore","Roadrunner Records",0.523,0.973,5,-4.121,1,0.075,0.0000514,0.0174,0.582,0.281,127.947,4
spotify:track:4UI693m28NeH4uY0mnBV0F,"LIGHT DESIGN","NEVER ENOUGH","Turnstile",2025-06-06,129664,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-06T11:25:29Z,"hardcore punk,hardcore","Roadrunner Records",0.278,0.858,0,-4.806,1,0.0691,0.000614,0.00407,0.144,0.0545,170.039,4
spotify:track:0uUtMNrn3EwF0KP6E90jGs,"DULL","NEVER ENOUGH","Turnstile",2025-06-06,138651,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-06T11:25:29Z,"hardcore punk,hardcore","Roadrunner Records",0.486,0.802,1,-7.371,1,0.0835,0.485,0.65,0.231,0.251,159.792,4
spotify:track:2QmmdEYfM6kEk5iz6E1Rs7,"SUNSHOWER","NEVER ENOUGH","Turnstile",2025-06-06,220474,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-06T11:25:29Z,"hardcore punk,hardcore","Roadrunner Records",0.188,0.884,8,-4.857,1,0.0786,0.0448,0.0935,0.373,0.038,171.9,4
spotify:track:4gM6AHXp4h8aj5482znmYz,"LOOK OUT FOR ME","NEVER ENOUGH","Turnstile",2025-06-06,403520,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-06T11:25:29Z,"hardcore punk,hardcore","Roadrunner Records",0.571,0.905,4,-6.327,1,0.0735,0.0273,0.244,0.0791,0.18,131.976,4
spotify:track:4Ysc5jO1iQtBJFjlASMZXP,"CEILING","NEVER ENOUGH","Turnstile",2025-06-06,73026,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-06T11:25:29Z,"hardcore punk,hardcore","Roadrunner Records",0.466,0.126,11,-13.713,1,0.0385,0.983,0.121,0.113,0.036,62.012,4
spotify:track:2Z4nIITCxUoaZvFug5FxtO,"SEEIN’ STARS","NEVER ENOUGH","Turnstile",2025-06-06,186277,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-06T11:25:29Z,"hardcore punk,hardcore","Roadrunner Records",0.605,0.869,11,-5.607,1,0.0492,0.0000686,0.00126,0.135,0.52,123.94,4
