Album Name,Artist Name(s),Album ID,Spotify URL
NEVER ENOUGH,Turnstile,52yD51X7yDinwlg6tbCtpP,open.spotify.com/album/52yD51X7yDinwlg6tbCtpP
Lotus,Little Simz,0ofdTvYtx4LpsVjemJt71X,open.spotify.com/album/0ofdTvYtx4LpsVjemJt71X
Magic Alive!,McKinley Dixon,0RXsRwX4iMCKkSFPoSs8Go,open.spotify.com/album/0RXsRwX4iMCKkSFPoSs8Go
Ripped and Torn,Lifeguard,3B22vFtjNRkF1ZBnCYEDa9,open.spotify.com/album/3B22vFtjNRkF1ZBnCYEDa9
More,Pulp,4et2xBFMKmsaWQPjlKTbG6,open.spotify.com/album/4et2xBFMKmsaWQPjlKTbG6
Anthems: A Celebration Of Broken Social Scene's You Forgot It In People,Ouri,4HdLA0xaCNM7H5FmwVo2FT,open.spotify.com/album/4HdLA0xaCNM7H5FmwVo2FT
Addison,Addison Rae,2ffVa2UhHUDwMHnr685zJ4,open.spotify.com/album/2ffVa2UhHUDwMHnr685zJ4
Letters to Ordinary Outsiders,Comet Gain,6tHJF6PCQ4IEETEy4t7oqX,open.spotify.com/album/6tHJF6PCQ4IEETEy4t7oqX
Love Made Trees,"Loaded Honey,Lydia Kitto,J Lloyd",6opNybHCZ3HMLtbp8crFAa,open.spotify.com/album/6opNybHCZ3HMLtbp8crFAa
I'll Be Waving As You Drive Away,Hayden Pedigo,5LZVQiwNWzbq8W1cT9MxHe,open.spotify.com/album/5LZVQiwNWzbq8W1cT9MxHe
Tha Carter VI,Lil Wayne,3f35htoN6xM1w2fKE8YZIJ,open.spotify.com/album/3f35htoN6xM1w2fKE8YZIJ
Evergreen (stripped),Soccer Mommy,52k0XqwbDNsHxhb7Ht4p8p,open.spotify.com/album/52k0XqwbDNsHxhb7Ht4p8p
Soft New Magic Dream,Black Moth Super Rainbow,0ymqPRrABPL10xvZShIMIe,open.spotify.com/album/0ymqPRrABPL10xvZShIMIe
Deadstick,King Gizzard & The Lizard Wizard,1Rtthlw2GJAUnphEyBy4MT,open.spotify.com/album/1Rtthlw2GJAUnphEyBy4MT
Forced Communal Existence,Alien Nosejob,3hGzcvxZWC1vyxHjYHiEVh,open.spotify.com/album/3hGzcvxZWC1vyxHjYHiEVh
Trash Classic,Frankie and the Witch Fingers,4eDR4vGiLfW28kCBRtFpiM,open.spotify.com/album/4eDR4vGiLfW28kCBRtFpiM
SALT,Salem 66,4eqnbuNHnzb6ZAO9cU32C8,open.spotify.com/album/4eqnbuNHnzb6ZAO9cU32C8
Copper Changes Color,Caamp,52Pm7PUhlVVBqd5l9To4Sy,open.spotify.com/album/52Pm7PUhlVVBqd5l9To4Sy
Stuck on Beta,Smug Brothers,4zd4S67rhDbGwqawzh2qwI,open.spotify.com/album/4zd4S67rhDbGwqawzh2qwI
Happy Birthday,Finn Wolfhard,5uQ0e1loxV2LcIIQRw0crF,open.spotify.com/album/5uQ0e1loxV2LcIIQRw0crF
All We Have Is Never,Holy Scum,2fvj0HhiNyVyytatN0p8Fq,open.spotify.com/album/2fvj0HhiNyVyytatN0p8Fq
Without A Single Fight,Peaceful Faces,0OP8KOy5LWwSv1VfkC8wrA,open.spotify.com/album/0OP8KOy5LWwSv1VfkC8wrA
Aseurai,Phoebe Rings,1CI6rY0FSqp4DrxSYWR3nA,open.spotify.com/album/1CI6rY0FSqp4DrxSYWR3nA
Imaginary Friend,After Ours,0hqf79eeHBBAauf5afgBaM,open.spotify.com/album/0hqf79eeHBBAauf5afgBaM
still there is the sea,Ambre Ciel,0wJ8QZVsFWsEQnaysqr6rF,open.spotify.com/album/0wJ8QZVsFWsEQnaysqr6rF
Make Up / Lost Time,Landlady,1D3y48aWCELIeN9tCdOA65,open.spotify.com/album/1D3y48aWCELIeN9tCdOA65
School,Pip Blom,6sX5LQF6o6FaqoTuFiHBWS,open.spotify.com/album/6sX5LQF6o6FaqoTuFiHBWS
Lighthouse,Career Woman,3D0GGCtO8mNzDmBovdS7j1,open.spotify.com/album/3D0GGCtO8mNzDmBovdS7j1
Ants,Eterna,6QTcP7Z7tAIapc8UsqwE7K,open.spotify.com/album/6QTcP7Z7tAIapc8UsqwE7K
Sky Too Wide,Tracy Bonham,2qgO3QtzdBxlC3wfdeHE7J,open.spotify.com/album/2qgO3QtzdBxlC3wfdeHE7J
Days of Heaven,Junk Drawer,3gEZf0bRhUaBevLRykTDZ5,open.spotify.com/album/3gEZf0bRhUaBevLRykTDZ5
uLu Selects Vol #2,Portugal. The Man,15n8xK2AZfb9S0X1M2IKcY,open.spotify.com/album/15n8xK2AZfb9S0X1M2IKcY
PRINCESS OF POWER,MARINA,2rjfRdmVDBMFT5mamSsVeU,open.spotify.com/album/2rjfRdmVDBMFT5mamSsVeU
I Forgive You,Cynthia Erivo,4FpWxfojxH2a3S5OBrMYoj,open.spotify.com/album/4FpWxfojxH2a3S5OBrMYoj
NEVERYTHING,Tiberius b,3cqzPYMblMLGNgx8ohxRnK,open.spotify.com/album/3cqzPYMblMLGNgx8ohxRnK
Walk This Road,"The Doobie Brothers,Mavis Staples",7aPVm5JTgslETzxylWaywk,open.spotify.com/album/7aPVm5JTgslETzxylWaywk
Revelation,"The Knocks,Dragonette",3My0taql4cY6yHpY1bZILJ,open.spotify.com/album/3My0taql4cY6yHpY1bZILJ
Home,The Ting Tings,2ZMGAQ1QyWmirdMQ1KET8o,open.spotify.com/album/2ZMGAQ1QyWmirdMQ1KET8o
Brighter The Days,Omar,1YFcoVpjlvzqfszuNvQuZg,open.spotify.com/album/1YFcoVpjlvzqfszuNvQuZg
