Artist,Similar Artists,status
Little Simz,"Jid, NoName, Enny, Rapsody, Loyle Carner",success
Turnstile,"Turnstile, Blood Orange, Turnstile & Blood Orange, Angel Du$t, Trapped Under Ice, Scowl",success
Lifeguard,"Truth Club, Horsegirl, Stuck, FACS, Mandy, Indiana",success
McKinley Dixon,"Billy Woods & Kenny Segal, Boldy James & Sterling Toles, Billy Woods, pink siifu, Navy Blue",success
Ouri,"SASSY 009, Delacour, Oli XL, ML BUCH, Tirzah",success
Toro y Moi,"Les Sins, Neon Indian, Washed Out, Unknown Mortal Orchestra, Homeshake",success
Hovvdy,"This is Lorelei, Wishy, Another Michael, Amen Dunes, Dehd",success
Pulp,"Jarvis Cocker, Suede, Blur, Elastica, The Stone Roses",success
The Weather Station,"Sharon Van Etten, Cassandra Jenkins, Laura Marling, Perfume Genius, jasmine.4.t",success
Miya Folick,"Samia, ian sweet, Caroline Rose, Half Waif, Blondshell",success
Mdou Moctar,"Etran de L'AÏr, Tinariwen, Bombino, Les Filles De Illighadad, Altin Gün",success
Maggie Rogers,"Muna, Holly Humberstone, HAIM, Katie Gavin, Bleachers",success
Middle Kids,"Holy Holy, Angie McMahon, Alex Lahey, Jack River, Gang of Youths",success
Benny Sings,"Tom Misch, Vulfmon, Oscar Jerome, Aaron Taylor, Joesef",success
SPIRIT OF THE BEEHIVE,"the spirit of the beehive, They Are Gutting a Body of Water, Horse Jumper of Love, Ovlov, Wednesday",success
Sessa,"Bruno Berle, Letuce, Ana Mazzotti, Dora Morelenbaum, José Mauro",success
Babygirl,"Gatlin, quinnie, The Japanese House, Del Water Gap, Zeph",success
Addison Rae,"Tate McRae, Rose Gray, Rebecca Black, Charli XCX & Troye Sivan, Heidi Montag",success
Comet Gain,"Hefner, Razorcuts, The Aislers Set, 14 Iced Bears, The Umbrellas",success
Loaded Honey,"Jungle, The Parcels, Obongjayar, Franc Moody, The Olympians",success
Hayden Pedigo,"North Americans, William Tyler, Nathan Salsburg, Old Saw, Danny Paul Grody",success
Soccer Mommy,"Snail Mail, Momma, Samia, Waxahatchee, Julia Jacklin",success
Black Moth Super Rainbow,"Tobacco, The Octopus Project, Avey Tare, Animal Collective, Panda Bear",success
Alien Nosejob,"Ausmuteants, R.M.F.C., 1-800-MIKEY, Satanic Togas, Billiam",success
King Gizzard & The Lizard Wizard,"The Murlocs, bootleg gizzard, Pipe-Eye, Psychedelic Porn Crumpets, Thee Oh Sees",success
Frankie and the Witch Fingers,"Thee Oh Sees, The Murlocs, Fuzz, King Gizzard & The Lizard Wizard, Psychedelic Porn Crumpets",success
Salem 66,"One Plus Two, Absolute Grey, Antietam, Barbara Manning, Vomit Launch",success
Caamp,"Sumbuck, Mt. Joy, Houndmouth, Gregory Alan Isakov, Oliver Hazard",success
Smug Brothers,"Me & Mountains, Jesse Remnant, Mars Classroom, Captain of Industry, Hospital Garden",success
Finn Wolfhard,"Gigi Perez, Wallows, jasmine.4.t, Sombr, Mae Martin",success
Holy Scum,"PETBRICK, OVO, Darsombra, Obey Cobra, Blak Saagan",success
After Ours,"Noah Pope, meg elsier, Dandelion Head, Jack Boyd, Zuaraz",success
Phoebe Rings,"Mermaidens, The Beths, Fazerdaze, Nadia Reid, Jonathan Bree",success
Ambre Ciel,"Lydia Képinski, Étienne Coppée, N Nao, Laurence-Anne, Thierry Larose",success
Landlady,"Ohmme, Fell Runner, Ava Luna, EZTV, Golden Shoulders",success
Pip Blom,"Bodega, Personal Trainer, Lime Garden, Coach Party, Pale Blue Eyes",success
Career Woman,"ash tuesday, Blue Deputy, Wilma Laverne Miner, Rat Tally, buffchick",success
Eterna,"Hangar, Vision Divine, Angra, Nation, Edu Falaschi",success
Tracy Bonham,"Letters to Cleo, Veruca Salt, Poe, Luscious Jackson, Liz Phair",success
Junk Drawer,"Oh Boland, Search Results, New Pagans, Buí, Pretty Happy",success
Portugal. The Man,"Broken Bells, Sir Sly, Cold War Kids, Foster the People, Saint Motel",success
MARINA,"Marina & the Diamonds, Melanie Martinez, Allie X, Lady Gaga, Tove Lo",success
Cynthia Erivo,"Jonathan Bailey, The Wicked Orchestra, Kristin Chenoweth, Kristin Chenoweth & Idina Menzel, Idina Menzel",success
The Doobie Brothers,"Boz Scaggs, Chicago, Steely Dan, Little River Band, Ambrosia",success
Tiberius b,"Jacob Alon, jasmine.4.t, Jessica Winter, Miso Extra, Dawn Landes",success
The Knocks,"Roosevelt, Sofi Tukker, Cannons, Great Good Fine OK, St. Lucia",success
The Ting Tings,"Ladyhawke, New Young Pony Club, Cansei de Ser Sexy, La Roux, The Asteroids Galaxy Tour",success
Omar,"Mica Paris, Angie Stone, Carleen Anderson, Rahsaan Patterson, Galliano",success
Ayoni,"Amanda Reifer, Rihanna, SZA, Clay, Yebba, Ogi",success
Sabrina Claudio,"Alina Baraz, H.E.R., Sinead Harnett, Tanerélle, Snoh Aalegra",success
Brian Eno,"Harold Budd/Brian Eno, Fripp & Eno, Cluster & Brian Eno, Brian Eno & David Byrne, Roger Eno",success
Death In Vegas,"UNKLE, Lamb, Archive, Leftfield, Massive Attack",success
