Artist,Album,Genres
Orillia,ANY_ALBUM,"Alt-Country, Americana, Slow Country"
Maximiano,ANY_ALBUM,"Americana, Folk, Emo-Folk, Milwaukee"
Conor Lynch,ANY_ALBUM,"Americana, Slow Country, Alt-Country, Folk"
Ellie Jackson,ANY_ALBUM,"Milwaukee, Indie-Pop"
Max Niemann,ANY_ALBUM,"Milwaukee, Indie-Folk, Folk-Rock"
Petey USA,ANY_ALBUM,Indie-Rock
Hyer - Milwaukee,ANY_ALBUM,Singer-Songwriter
Emmitt James,ANY_ALBUM,"Jazz-Rap, Lyrical, Rap, Hip-Hop, Milwaukee"
Matthew Milia,ANY_ALBUM,Indie-Folk
summersets,ANY_ALBUM,"Canadian, Indie-Folk, Folk"
G-Gifted,ANY_ALBUM,"Milwaukee, Rap, Hip-Hop"
Zach Pietrini,ANY_ALBUM,"Milwaukee, Americana, Folk-Rock"
Icarus Phoenix,ANY_ALBUM,"Baltimore, Indie-Rock, Gentle"
"Lott, Violinist",ANY_ALBUM,Indie-Pop
Kyle Morgan,ANY_ALBUM,"Folk, Chamber-Pop"
OG Bey Harris,ANY_ALBUM,"Lyrical, Backpack, Hip-Hop, Rap"
Cate Le Bon feat. Perfume Genius,ANY_ALBUM,Indie
McKenna Bray,ANY_ALBUM,Country
A.M. Stryker,ANY_ALBUM,"Folk, Minnesota"
Is This Thing On,ANY_ALBUM,"Minnesota, Power-Pop"
Easy Sleeper,ANY_ALBUM,Post-Punk
A.C. the Ruler,ANY_ALBUM,"Milwaukee, Hip-Hop, Rap"
Chatham Rabbits,ANY_ALBUM,"Americana, Folk, Dual-Gender"
Feist,Multitudes,"folk, experimental, indie pop, female vocalists, singer-songwriter, female vocalist, indie, canadian"
Davido,Timeless,"afrobeat, nigeria, afrobeats, afropop, africa, naija, davido, iyanya, electronica, electropop"
CHPTRS,Chapter Seven,"cinematic, american, indie-rock, indie-pop"
The Taxpayers,Circle Breaker,"punk, folk punk, folk"
Fenne Lily,Big Picture,"indie pop, indie folk"
IshDARR,6,"rap, hip-hop, wisconsin, hip hop, usa, milwaukee"
Telehealth,Content Oscillator,"post-punk, krautrock, indie rock, noise rock, usa, new wave, psychedelic pop, psychedelic, punk rock, psychedelic rock"
The National,Your Mind Is Not Your Friend (feat. Phoebe Bridgers),"indie rock, indie, alternative, rock, alternative rock, american, post-punk, alt-country, post-punk revival, indie pop"
El Michels Affair,Glorious Game,"hip hop, funk"
The Weakerthans,Reunion Tour,"indie rock, singer-songwriter, post-punk, albums i love, favourite albums, indie, canadian, rock"
Worriers,Warm Blanket,"female vocalist, punk rock, pop punk"
Caroline Rose,Superstar,"indie, sexy, indie pop, pop rock, indietronica, energetic, female vocalist, folk, singer-songwriter"
Angel Olsen,Forever Means,"sad girl, angel olsen, female vocalist, folk, indie folk"
Billie Marten,Drop Cherries,"folk, experimental"
Darksoft,Beigeification,"indie, rock, alternative, alternative rock, indie rock, shoegaze, psychedelic rock, united states"
half•alive,"Now, Not Yet","indie pop, indie, alternative"
