"Album Name","Artist","Feedback","Review"
"Spring Board: The Early Unrecorded Songs","The Chills","like",""
"Beyond the Break","Kristin Daelyn","like",""
"The Joys Of Being Pure At Heart","Hachiku","mid",""
"The Joys Of Being Pure At Heart","Hachiku","mid",""
"Matter Does Not Define","The Lathums","like",""
"The Joys Of Being Pure At Heart","Hachiku","mid",""
"Billboard Heart","Deep Sea Diver","like",""
"Alter Ego","LISA,Doja Cat,RAYE","like",""
"Movies","Hana Vu","mid",""
"Constellations For The Lonely","Doves","like",""
"Some Days I’m Good, Some Days I’m Not","Fridayy","mid",""
"Roxwell","Matilda Mann","like",""
"committed to a bit","corook","like",""
"Dirty Talk","Michi","like",""
"Erotica Veronica","Miya Folick","like",""
"Wildfires","Polly Paulusma","mid",""
"Middle Spoon","Cheekface","like",""
"Service Station At The End Of The Universe","Antony Szmierek","mid",""
"Luminescent Creatures","Ichiko Aoba","mid",""
"pinball wanderer","Andy Bell","mid",""
"In Space","Edith Frost","mid",""
"SALVATION","Rebecca Black","dislike",""
"Spirits","The Devil Makes Three","mid",""
"Hope Handwritten","Hope Tala","mid",""
"Monkrooms","Bedrooms,Fried Monk","like",""
"Sinister Grift","Panda Bear","like",""
"The Music of Tori and the Muses","Tori Amos","mid",""
"They Left Me With A Gun","Paris Texas","mid",""
"Lonely Mountain Town","Charles Wesley Godwin","like",""
"Microtonic","bdrmm,Working Men's Club","mid",""
"Blue Sky Sundays","JD Clayton","mid",""
"Teeth of Time","Joshua Burnside","mid",""
"pinball wanderer","Andy Bell","like",""
"pinball wanderer","Andy Bell","mid",""
"Want You Need","Runaway Brother","like",""
"Cotton Crown","The Tubs","like",""
"Gaman","Star 99","like",""
"This Side of the Island","Hamilton Leithauser","like",""
"The Open Up","Frog Eyes","mid",""
"Oceanside Countryside","Neil Young","like",""
"Super Pedestrian","Annie DiRusso","like",""
"Spider Towns","Old Pup","like",""
"I Miss You, I Do","Arny Margret","mid",""
"Bucolic Gone","LAKE","mid",""
"Ruby","JENNIE","like",""
"New Place","Pale Blue Eyes","like",""
"Blood On the Silver Screen","SASAMI","like",""
"Bucolic Gone","LAKE","mid",""
"I Miss You, I Do","Arny Margret","mid",""
"KRIPP KRONICLES I","Base Hollow","mid",""
"MAYHEM","Lady Gaga","mid",""
"Here We Go Crazy","Bob Mould","mid",""
"HOUSE Of ALL SOULS","HOUSE Of ALL","dislike",""
"UNDEFEATED - EP","Icewear Vezzo","mid",""
"Surgery and Pleasure","Vundabar","like",""
"Cycles","Haroula Rose,Oliver Hill","dislike",""
"Orion","Matt Embree","like",""
"Colorado's On Fire Again","Richy Mitch & The Coal Miners","like",""
"Points Of Origin","Will Stratton","mid",""
"I Blow Out Big Candles (But With a Cherry on Top)","Freak Slug","mid",""
"Big Ugly","Fust","mid",""
"Ghosts in the Garden","Kris Delmhorst","like",""
"NO HOLDS BARRED","Jasiah","dislike",""
"Nation Shall Speak Unto Nation","Edwyn Collins","mid",""
"Lonesome Drifter","Charley Crockett","dislike",""
"Lonesome Drifter","Charley Crockett","mid",""
"Lonesome Drifter","Charley Crockett","mid",""
"Lonesome Drifter","Charley Crockett","mid",""
"Homesick","Flora from Kansas","like",""
"BLABLABLA","Blasé","like",""
"Conditions of Love Vol. 1","Rose Cousins","like",""
"Everything Changes Everything Stays The Same","The Loft","like",""
"In Light","Charlie Cunningham","like",""
"Dirt Emo Vol. 2","Ruston Kelly","like",""
"Relapse, Lies, & Betrayal","Warren Zeiders","dislike","Bachelorette Party Music. Too much dirt truck yee-haw. "
"Now I'm Laughing Again","Empty Heaven","like","Conor Oberst at times, Emo at times. Authentic. "
"Lonestar Lovers","Brett Eldredge","like","I can handle calm / slow country. "
"Moonlight Concessions","Throwing Muses","mid","This album was very average."
"Your Lungs And Your Tongues","Vazz","mid",""
